Program Level,Area of Study,Special Requirements,Course,Course URL,University,Duration,Open Semesters,Closed Semesters,Speciality,Rankings,Yearly Tuition Fee,Application Fee,State,College URL,College Logo,University Course URL,Campus,Entry Requirements,Remarks,Standardized Test Requirements,Application Deadline,Last Updated Date,TOEFL iBT Overall,IELTS Overall,IELTS no Band Less Than,PTE Overall,TOEFL iBT no Bands Less Than,DET Score,More Info
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MA in Strategic Marketing (120 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY4OTY1&year=2026,Macromedia University of Applied Sciences,24 Month(s),Oct,,"Major City, No Interview Required",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/strategic-marketing/,Munich,3 years Bachelor's degree with minimum 60% from a recognised university.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year. An additional enrolment fee of € 699 is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,Oct : 1 Sep,Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MA in Strategic Marketing (90 ECTS) (Berlin) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY4OTYy&year=2026,Macromedia University of Applied Sciences,18 Month(s),"Oct, Mar",,"Major City, No Interview Required",201 in Webometrics Ranking of Germany National,"EUR 13,680",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/strategic-marketing/,Berlin,4 years Bachelor's degree with minimum 60% from a recognised university.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fees is € 20,500. An additional enrolment fee of € 699 is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Oct : 1 Sep,  Mar : 15 Feb",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MA in Strategic Marketing (90 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTY4OTY0&year=2026,Macromedia University of Applied Sciences,18 Month(s),Mar,,"Major City, No Interview Required",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/strategic-marketing/,Munich,4 years Bachelor's degree with minimum 60% from a recognised university.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fees is € 16,500. An additional enrolment fee of € 699 is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,Mar : 15 Feb,Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",Master of Business Administration (MBA) (120 ECTS) (Berlin) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTkx&year=2026,Macromedia University of Applied Sciences,24 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 13,680",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-master-of-business-administration/,Berlin,3 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fees mentioned is for 1 year. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",Master of Business Administration (MBA) (120 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTkz&year=2026,Macromedia University of Applied Sciences,24 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-master-of-business-administration/,Munich,3 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fees mentioned is for 1 year. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",Master of Business Administration (MBA) (90 ECTS) (Berlin) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTky&year=2026,Macromedia University of Applied Sciences,18 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 13,680",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-master-of-business-administration/,Berlin,4 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fee is € 20,520. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",Master of Business Administration (MBA) (90 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTk0&year=2026,Macromedia University of Applied Sciences,18 Month(s),Mar,,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-master-of-business-administration/,Munich,4 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fee is € 16,500. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,Mar: 15 Feb,Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MBA Marketing (120 ECTS) (Berlin) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTk1&year=2026,Macromedia University of Applied Sciences,24 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 13,680",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-marketing/,Berlin,3 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fees mentioned is for 1 year. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MBA Marketing (120 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTk3&year=2026,Macromedia University of Applied Sciences,24 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-marketing/,Munich,3 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fees mentioned is for 1 year. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MBA Marketing (90 ECTS) (Berlin) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTk2&year=2026,Macromedia University of Applied Sciences,18 Month(s),"Mar, Oct",,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 13,680",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-marketing/,Berlin,4 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fee is € 20,520. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,"Mar: 15 Feb, Oct: 1 Sep",Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
PG,"Commerce, Business and Administration","TOEFL iBT, IELTS, Without GRE, Without GMAT, Application Fee Waiver (upto 100%)",MBA Marketing (90 ECTS) (Munich) (APS required),https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTg5NTk4&year=2026,Macromedia University of Applied Sciences,18 Month(s),Mar,,"Major City, No Interview Required, MBA Programs",201 in Webometrics Ranking of Germany National,"EUR 11,000",No application fee,Not found,http://www.macromedia-fachhochschule.de/en/,https://blr1.digitaloceanspaces.com/eecglobal/university-logos/macromedia-university-of-applied-sciences-ae86fd66.png,https://www.macromedia-fachhochschule.de/en/master/mba-marketing/,Munich,4 years Bachelor's degree with minimum 60% from a recognised university + 2 year of professional work experience.,"Application fee is waived off for KC. Important Note: The university might issue an unconditional offer based on PTE/DET, but these 2 documents are not accepted by the German high commission for student visa. For German student visa IELTS/TOEFL is a mandatory requirement. Tuition Fee mentioned is for 1 year, total tuition fee is € 16,500. An additional enrolment fee of €750 for the March intake and €950 for the October intake is to be paid once at the start of the programme. Applicants may be required to attend an online interview. Before submitting the application to the institution, KC team will connect with the student for an initial discussion over a video call through WhatsApp/Google Meet/Teams Meeting. The students are required to clear an internal online exam, which is free of charge.",No Test Requirement,Mar: 15 Feb,Last Updated on: 14 Nov 2025,72,6,5.5,,,,yes
